timestamp_utc,encoder,mitigation_method,evaluation_language,attribute,effect_size,p_value,n_target_stereotypical,n_target_anti,n_attr_pleasant,n_attr_unpleasant
2026-06-06T06:34:21Z,xlm-roberta-base,baseline,en,gender,0.0653,0.28057,145,145,8,8
2026-06-06T06:34:21Z,xlm-roberta-base,sentence_debias,en,gender,-0.0356,0.61994,145,145,8,8
2026-06-06T06:34:21Z,xlm-roberta-base,inlp,en,gender,0.0698,0.26777,145,145,8,8
2026-06-06T06:34:21Z,xlm-roberta-base,baseline,hi,gender,0.079,0.25237,141,141,8,8
2026-06-06T06:34:22Z,xlm-roberta-base,sentence_debias,hi,gender,0.044,0.35756,141,141,8,8
2026-06-06T06:34:22Z,xlm-roberta-base,inlp,hi,gender,0.0796,0.25237,141,141,8,8
2026-06-06T06:34:22Z,xlm-roberta-base,baseline,bn,gender,0.0366,0.37306,142,142,8,8
2026-06-06T06:34:22Z,xlm-roberta-base,sentence_debias,bn,gender,0.1378,0.11459,142,142,8,8
2026-06-06T06:34:23Z,xlm-roberta-base,inlp,bn,gender,0.0367,0.37206,142,142,8,8
2026-06-06T06:34:23Z,xlm-roberta-base,baseline,en,race-color,-0.2185,0.9942,275,275,8,8
2026-06-06T06:34:23Z,xlm-roberta-base,sentence_debias,en,race-color,-0.031,0.64304,275,275,8,8
2026-06-06T06:34:24Z,xlm-roberta-base,inlp,en,race-color,-0.2062,0.9914,275,275,8,8
2026-06-06T06:34:24Z,xlm-roberta-base,baseline,hi,race-color,-0.443,1.0,285,285,8,8
2026-06-06T06:34:24Z,xlm-roberta-base,sentence_debias,hi,race-color,-0.4902,1.0,285,285,8,8
2026-06-06T06:34:25Z,xlm-roberta-base,inlp,hi,race-color,-0.4401,1.0,285,285,8,8
2026-06-06T06:34:25Z,xlm-roberta-base,baseline,bn,race-color,0.105,0.10959,281,281,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,sentence_debias,bn,race-color,0.2516,0.0018,281,281,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,inlp,bn,race-color,0.1052,0.10909,281,281,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,baseline,en,caste,0.0,0.38536,4,4,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,sentence_debias,en,caste,0.0,0.37616,4,4,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,inlp,en,caste,0.0,0.38536,4,4,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,baseline,hi,caste,0.0,0.16308,2,2,8,8
2026-06-06T06:34:27Z,xlm-roberta-base,sentence_debias,hi,caste,0.0,0.16308,2,2,8,8
2026-06-06T06:34:27Z,xlm-roberta-base,inlp,hi,caste,0.0,0.16308,2,2,8,8
2026-06-06T06:34:27Z,xlm-roberta-base,baseline,bn,caste,-0.4201,0.76282,7,7,8,8
2026-06-06T06:34:27Z,xlm-roberta-base,sentence_debias,bn,caste,0.3158,0.28867,7,7,8,8
2026-06-06T06:34:27Z,xlm-roberta-base,inlp,bn,caste,-0.4182,0.75592,7,7,8,8
2026-06-06T06:34:27Z,xlm-roberta-base,baseline,en,religion,-0.1152,0.74153,59,59,8,8
2026-06-06T06:34:27Z,xlm-roberta-base,sentence_debias,en,religion,-0.28,0.93961,59,59,8,8
2026-06-06T06:34:27Z,xlm-roberta-base,inlp,en,religion,-0.1063,0.72563,59,59,8,8
2026-06-06T06:34:28Z,xlm-roberta-base,baseline,hi,religion,-0.1917,0.82962,50,50,8,8
2026-06-06T06:34:28Z,xlm-roberta-base,sentence_debias,hi,religion,-0.4904,0.9927,50,50,8,8
2026-06-06T06:34:28Z,xlm-roberta-base,inlp,hi,religion,-0.2012,0.84122,50,50,8,8
2026-06-06T06:34:28Z,xlm-roberta-base,baseline,bn,religion,0.5756,0.001,55,55,8,8
2026-06-06T06:34:28Z,xlm-roberta-base,sentence_debias,bn,religion,0.4972,0.0044,55,55,8,8
2026-06-06T06:34:28Z,xlm-roberta-base,inlp,bn,religion,0.5744,0.001,55,55,8,8
2026-06-06T06:43:54Z,google/muril-base-cased,baseline,en,gender,-0.1292,0.86701,145,145,8,8
2026-06-06T06:43:54Z,google/muril-base-cased,sentence_debias,en,gender,-0.1861,0.94501,145,145,8,8
2026-06-06T06:43:54Z,google/muril-base-cased,inlp,en,gender,-0.1101,0.82842,145,145,8,8
2026-06-06T06:43:54Z,google/muril-base-cased,baseline,hi,gender,0.0329,0.39556,141,141,8,8
2026-06-06T06:43:54Z,google/muril-base-cased,sentence_debias,hi,gender,0.0197,0.43936,141,141,8,8
2026-06-06T06:43:55Z,google/muril-base-cased,inlp,hi,gender,0.0331,0.39466,141,141,8,8
2026-06-06T06:43:55Z,google/muril-base-cased,baseline,bn,gender,-0.1562,0.90101,142,142,8,8
2026-06-06T06:43:55Z,google/muril-base-cased,sentence_debias,bn,gender,-0.1479,0.89061,142,142,8,8
2026-06-06T06:43:55Z,google/muril-base-cased,inlp,bn,gender,-0.1076,0.81462,142,142,8,8
2026-06-06T06:43:56Z,google/muril-base-cased,baseline,en,race-color,0.0787,0.17508,275,275,8,8
2026-06-06T06:43:56Z,google/muril-base-cased,sentence_debias,en,race-color,-0.2454,0.9976,275,275,8,8
2026-06-06T06:43:57Z,google/muril-base-cased,inlp,en,race-color,0.1182,0.08139,275,275,8,8
2026-06-06T06:43:57Z,google/muril-base-cased,baseline,hi,race-color,0.2609,0.0012,285,285,8,8
2026-06-06T06:43:57Z,google/muril-base-cased,sentence_debias,hi,race-color,0.0115,0.45015,285,285,8,8
2026-06-06T06:43:58Z,google/muril-base-cased,inlp,hi,race-color,0.2617,0.0011,285,285,8,8
2026-06-06T06:43:58Z,google/muril-base-cased,baseline,bn,race-color,-0.2866,0.9999,281,281,8,8
2026-06-06T06:43:59Z,google/muril-base-cased,sentence_debias,bn,race-color,-0.2398,0.998,281,281,8,8
2026-06-06T06:43:59Z,google/muril-base-cased,inlp,bn,race-color,-0.1753,0.9803,281,281,8,8
2026-06-06T06:43:59Z,google/muril-base-cased,baseline,en,caste,0.0,0.37276,4,4,8,8
2026-06-06T06:43:59Z,google/muril-base-cased,sentence_debias,en,caste,0.0,0.37276,4,4,8,8
2026-06-06T06:43:59Z,google/muril-base-cased,inlp,en,caste,0.0,0.37276,4,4,8,8
2026-06-06T06:43:59Z,google/muril-base-cased,baseline,hi,caste,0.0,0.16308,2,2,8,8
2026-06-06T06:44:00Z,google/muril-base-cased,sentence_debias,hi,caste,0.0,0.16908,2,2,8,8
2026-06-06T06:44:00Z,google/muril-base-cased,inlp,hi,caste,0.0,0.16308,2,2,8,8
2026-06-06T06:44:00Z,google/muril-base-cased,baseline,bn,caste,-0.5723,0.82212,7,7,8,8
2026-06-06T06:44:00Z,google/muril-base-cased,sentence_debias,bn,caste,-0.5591,0.80992,7,7,8,8
2026-06-06T06:44:00Z,google/muril-base-cased,inlp,bn,caste,-0.5813,0.80992,7,7,8,8
2026-06-06T06:44:00Z,google/muril-base-cased,baseline,en,religion,0.0356,0.41886,59,59,8,8
2026-06-06T06:44:00Z,google/muril-base-cased,sentence_debias,en,religion,0.0634,0.35926,59,59,8,8
2026-06-06T06:44:00Z,google/muril-base-cased,inlp,en,religion,0.0539,0.38036,59,59,8,8
2026-06-06T06:44:01Z,google/muril-base-cased,baseline,hi,religion,-0.4057,0.9774,50,50,8,8
2026-06-06T06:44:01Z,google/muril-base-cased,sentence_debias,hi,religion,-0.4131,0.9792,50,50,8,8
2026-06-06T06:44:01Z,google/muril-base-cased,inlp,hi,religion,-0.4054,0.9774,50,50,8,8
2026-06-06T06:44:01Z,google/muril-base-cased,baseline,bn,religion,0.795,0.0001,55,55,8,8
2026-06-06T06:44:01Z,google/muril-base-cased,sentence_debias,bn,religion,0.7859,0.0001,55,55,8,8
2026-06-06T06:44:01Z,google/muril-base-cased,inlp,bn,religion,0.8371,0.0001,55,55,8,8
2026-06-06T06:56:26Z,bert-base-multilingual-cased,baseline,en,gender,0.0831,0.24698,145,145,8,8
2026-06-06T06:56:26Z,bert-base-multilingual-cased,sentence_debias,en,gender,0.0857,0.23958,145,145,8,8
2026-06-06T06:56:26Z,bert-base-multilingual-cased,inlp,en,gender,0.1051,0.19078,145,145,8,8
2026-06-06T06:56:27Z,bert-base-multilingual-cased,baseline,hi,gender,0.0392,0.37006,141,141,8,8
2026-06-06T06:56:27Z,bert-base-multilingual-cased,sentence_debias,hi,gender,0.0461,0.35026,141,141,8,8
2026-06-06T06:56:27Z,bert-base-multilingual-cased,inlp,hi,gender,0.0461,0.34997,141,141,8,8
2026-06-06T06:56:27Z,bert-base-multilingual-cased,baseline,bn,gender,0.064,0.30027,142,142,8,8
2026-06-06T06:56:28Z,bert-base-multilingual-cased,sentence_debias,bn,gender,0.0667,0.29147,142,142,8,8
2026-06-06T06:56:28Z,bert-base-multilingual-cased,inlp,bn,gender,0.0679,0.28847,142,142,8,8
2026-06-06T06:56:28Z,bert-base-multilingual-cased,baseline,en,race-color,-0.1151,0.90651,275,275,8,8
2026-06-06T06:56:29Z,bert-base-multilingual-cased,sentence_debias,en,race-color,-0.102,0.87941,275,275,8,8
2026-06-06T06:56:29Z,bert-base-multilingual-cased,inlp,en,race-color,-0.0944,0.86201,275,275,8,8
2026-06-06T06:56:29Z,bert-base-multilingual-cased,baseline,hi,race-color,-0.1244,0.93181,285,285,8,8
2026-06-06T06:56:30Z,bert-base-multilingual-cased,sentence_debias,hi,race-color,-0.1308,0.94081,285,285,8,8
2026-06-06T06:56:30Z,bert-base-multilingual-cased,inlp,hi,race-color,-0.1199,0.92441,285,285,8,8
2026-06-06T06:56:31Z,bert-base-multilingual-cased,baseline,bn,race-color,0.1766,0.0196,281,281,8,8
2026-06-06T06:56:31Z,bert-base-multilingual-cased,sentence_debias,bn,race-color,0.1728,0.0216,281,281,8,8
2026-06-06T06:56:31Z,bert-base-multilingual-cased,inlp,bn,race-color,0.1736,0.0214,281,281,8,8
2026-06-06T06:56:31Z,bert-base-multilingual-cased,baseline,en,caste,0.0,0.37616,4,4,8,8
2026-06-06T06:56:32Z,bert-base-multilingual-cased,sentence_debias,en,caste,0.0,0.37616,4,4,8,8
2026-06-06T06:56:32Z,bert-base-multilingual-cased,inlp,en,caste,0.0,0.37616,4,4,8,8
2026-06-06T06:56:32Z,bert-base-multilingual-cased,baseline,hi,caste,0.0,0.16308,2,2,8,8
2026-06-06T06:56:32Z,bert-base-multilingual-cased,sentence_debias,hi,caste,0.0,0.16308,2,2,8,8
2026-06-06T06:56:32Z,bert-base-multilingual-cased,inlp,hi,caste,0.0,0.16308,2,2,8,8
2026-06-06T06:56:32Z,bert-base-multilingual-cased,baseline,bn,caste,0.0645,0.45115,7,7,8,8
2026-06-06T06:56:32Z,bert-base-multilingual-cased,sentence_debias,bn,caste,0.0814,0.41386,7,7,8,8
2026-06-06T06:56:32Z,bert-base-multilingual-cased,inlp,bn,caste,0.06,0.45275,7,7,8,8
2026-06-06T06:56:32Z,bert-base-multilingual-cased,baseline,en,religion,-0.0665,0.63674,59,59,8,8
2026-06-06T06:56:33Z,bert-base-multilingual-cased,sentence_debias,en,religion,-0.0242,0.55034,59,59,8,8
2026-06-06T06:56:33Z,bert-base-multilingual-cased,inlp,en,religion,-0.0562,0.61194,59,59,8,8
2026-06-06T06:56:33Z,bert-base-multilingual-cased,baseline,hi,religion,-0.0022,0.50275,50,50,8,8
2026-06-06T06:56:33Z,bert-base-multilingual-cased,sentence_debias,hi,religion,-0.0367,0.56844,50,50,8,8
2026-06-06T06:56:33Z,bert-base-multilingual-cased,inlp,hi,religion,0.0622,0.37906,50,50,8,8
2026-06-06T06:56:33Z,bert-base-multilingual-cased,baseline,bn,religion,0.3749,0.0223,55,55,8,8
2026-06-06T06:56:33Z,bert-base-multilingual-cased,sentence_debias,bn,religion,0.3779,0.0213,55,55,8,8
2026-06-06T06:56:34Z,bert-base-multilingual-cased,inlp,bn,religion,0.3456,0.0349,55,55,8,8
