timestamp_utc,subject_model,model_family,parameter_scale,dataset,evaluation_language,bias_category,metric_name,intrinsic_bias_score,fairness_deviation,n_pairs,n_stereotypical_wins,seed
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,all,intrinsic_causal_ll_bias,55.4851,5.4851,4257,2362,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,en,all,intrinsic_causal_ll_bias,60.4504,10.4504,1421,859,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,bn,all,intrinsic_causal_ll_bias,53.8842,3.8842,1416,763,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,hi,all,intrinsic_causal_ll_bias,52.1127,2.1127,1420,740,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,race-color,intrinsic_causal_ll_bias,53.1944,3.1944,1487,791,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,socioeconomic,intrinsic_causal_ll_bias,59.2,9.2,500,296,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,gender,intrinsic_causal_ll_bias,51.2618,1.2618,634,325,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,disability,intrinsic_causal_ll_bias,55.3672,5.3672,177,98,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,nationality,intrinsic_causal_ll_bias,50.7527,0.7527,465,236,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,sexual-orientation,intrinsic_causal_ll_bias,73.9837,23.9837,246,182,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,physical-appearance,intrinsic_causal_ll_bias,55.914,5.914,186,104,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,religion,intrinsic_causal_ll_bias,59.8684,9.8684,304,182,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,age,intrinsic_causal_ll_bias,57.3643,7.3643,258,148,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,all,intrinsic_causal_ll_bias,55.2597,5.2597,2253,1245,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,en,all,intrinsic_causal_ll_bias,61.5283,11.5283,759,467,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,bn,all,intrinsic_causal_ll_bias,50.8021,0.8021,748,380,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,hi,all,intrinsic_causal_ll_bias,53.3512,3.3512,746,398,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,caste,intrinsic_causal_ll_bias,62.8205,12.8205,312,196,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,gender,intrinsic_causal_ll_bias,56.7033,6.7033,455,258,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,religious,intrinsic_causal_ll_bias,60.3878,10.3878,361,218,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,race,intrinsic_causal_ll_bias,50.9333,0.9333,1125,573,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,all,intrinsic_causal_ll_bias,56.2133,6.2133,4257,2393,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,en,all,intrinsic_causal_ll_bias,61.3652,11.3652,1421,872,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,bn,all,intrinsic_causal_ll_bias,53.5311,3.5311,1416,758,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,hi,all,intrinsic_causal_ll_bias,53.7324,3.7324,1420,763,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,race-color,intrinsic_causal_ll_bias,47.6126,2.3874,1487,708,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,socioeconomic,intrinsic_causal_ll_bias,66.2,16.2,500,331,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,gender,intrinsic_causal_ll_bias,53.3123,3.3123,634,338,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,disability,intrinsic_causal_ll_bias,57.6271,7.6271,177,102,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,nationality,intrinsic_causal_ll_bias,52.6882,2.6882,465,245,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,sexual-orientation,intrinsic_causal_ll_bias,78.0488,28.0488,246,192,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,physical-appearance,intrinsic_causal_ll_bias,64.5161,14.5161,186,120,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,religion,intrinsic_causal_ll_bias,64.8026,14.8026,304,197,42
2026-06-06T17:08:08Z,aya-23-8b,Aya-23,8B,crows_pairs,all,age,intrinsic_causal_ll_bias,62.0155,12.0155,258,160,42
2026-06-06T19:00:40Z,aya-23-8b,Aya-23,8B,indian_bias,all,all,intrinsic_causal_ll_bias,57.5233,7.5233,2253,1296,42
2026-06-06T19:00:40Z,aya-23-8b,Aya-23,8B,indian_bias,en,all,intrinsic_causal_ll_bias,58.1028,8.1028,759,441,42
2026-06-06T19:00:40Z,aya-23-8b,Aya-23,8B,indian_bias,bn,all,intrinsic_causal_ll_bias,63.2353,13.2353,748,473,42
2026-06-06T19:00:40Z,aya-23-8b,Aya-23,8B,indian_bias,hi,all,intrinsic_causal_ll_bias,51.2064,1.2064,746,382,42
2026-06-06T19:00:40Z,aya-23-8b,Aya-23,8B,indian_bias,all,caste,intrinsic_causal_ll_bias,59.9359,9.9359,312,187,42
2026-06-06T19:00:40Z,aya-23-8b,Aya-23,8B,indian_bias,all,gender,intrinsic_causal_ll_bias,54.7253,4.7253,455,249,42
2026-06-06T19:00:40Z,aya-23-8b,Aya-23,8B,indian_bias,all,religious,intrinsic_causal_ll_bias,59.8338,9.8338,361,216,42
2026-06-06T19:00:40Z,aya-23-8b,Aya-23,8B,indian_bias,all,race,intrinsic_causal_ll_bias,57.2444,7.2444,1125,644,42
