timestamp_utc,subject_model,dataset,language,layer,logit_lens_gap,causal_effect
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,0,0.36951,26.29637
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,1,0.16341,26.31548
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,2,0.15998,26.26547
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,3,0.04153,26.2496
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,4,0.04552,26.2528
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,5,-0.16736,26.25332
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,6,-0.16139,26.24992
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,7,-0.07836,26.24847
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,8,-0.02502,26.24163
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,9,-0.2535,26.23787
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,10,-0.15495,26.23121
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,11,-0.18742,26.22898
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,12,-0.20768,26.22876
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,13,-0.14657,26.20175
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,14,-0.06465,26.19873
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,15,0.03673,26.19689
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,16,-0.02645,26.19897
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,17,-0.0912,26.19926
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,18,-0.01461,26.19656
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,19,-0.05543,26.19872
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,20,-0.04065,26.19959
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,21,0.01071,26.2012
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,22,-0.0366,26.20516
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,23,-0.08299,26.20194
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,24,-0.0118,26.1987
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,25,-0.0218,26.19779
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,26,0.06011,26.19349
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,27,-0.03328,64.03564
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,28,-0.30531,
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,0,0.01322,17.40507
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,1,-0.0729,17.40851
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,2,-0.21805,17.41566
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,3,-0.26863,17.41713
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,4,-0.06817,17.41569
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,5,-0.18628,17.41673
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,6,-0.33743,17.4093
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,7,-0.27035,17.40407
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,8,-0.21786,17.39916
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,9,-0.45913,17.39867
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,10,-0.27527,17.39964
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,11,-0.17734,17.39482
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,12,-0.08017,17.3975
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,13,0.00386,17.39278
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,14,-0.12662,17.39074
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,15,-0.09707,17.38998
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,16,-0.0722,17.38976
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,17,-0.02272,17.3878
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,18,0.00541,17.38681
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,19,-0.0046,17.387
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,20,0.11637,17.38471
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,21,0.17858,17.3863
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,22,0.17166,17.38196
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,23,0.23917,17.38208
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,24,0.34164,17.38252
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,25,0.37957,17.37224
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,26,0.26626,17.3767
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,27,0.39833,38.12747
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,28,0.90559,
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,0,-20.85466,17.65742
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,1,-3.21157,17.65951
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,2,-2.78243,17.65662
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,3,-2.20231,17.63751
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,4,-0.68455,17.63619
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,5,0.45714,17.60925
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,6,0.60546,17.61277
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,7,0.54098,17.59709
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,8,-0.77916,17.59408
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,9,0.40537,17.59392
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,10,0.93976,17.59061
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,11,0.92154,17.58903
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,12,-0.28491,17.58885
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,13,-0.91644,17.58931
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,14,-1.09359,17.59006
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,15,0.12912,17.5905
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,16,0.05196,17.59232
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,17,-0.01362,17.59303
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,18,0.25238,17.59329
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,19,1.75055,17.59431
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,20,2.57597,17.59353
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,21,1.60417,17.59538
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,22,2.8156,17.59752
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,23,2.95741,17.59789
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,24,2.91797,17.59921
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,25,3.27165,17.5987
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,26,3.74338,17.59863
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,27,4.04597,17.60008
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,28,3.47293,17.60021
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,29,2.62024,17.59957
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,30,1.29674,17.59925
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,31,-1.62239,18.09804
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,32,-0.37769,
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,0,-7.82219,5.79094
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,1,-0.14656,5.79296
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,2,-0.73474,5.78129
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,3,0.52826,5.78072
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,4,2.30916,5.78151
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,5,1.31626,5.77919
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,6,2.34378,5.77954
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,7,2.99411,5.77684
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,8,3.27739,5.77657
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,9,4.71635,5.77625
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,10,3.65006,5.77439
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,11,2.78302,5.77422
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,12,-0.13144,5.77415
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,13,-0.40336,5.7713
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,14,-0.29288,5.77224
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,15,0.9181,5.7731
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,16,0.56315,5.77304
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,17,2.36787,5.77486
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,18,2.05657,5.77218
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,19,1.74797,5.77075
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,20,1.88961,5.77035
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,21,1.19943,5.77099
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,22,2.12498,5.76946
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,23,3.64757,5.77004
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,24,3.45452,5.77019
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,25,4.19397,5.77001
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,26,5.41547,5.76932
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,27,4.96127,5.77015
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,28,5.79455,5.77007
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,29,6.17811,5.76893
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,30,5.89382,5.76872
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,31,6.43822,5.72327
2026-06-09T12:15:32Z,aya-23-8b,indian_bias,en,32,7.01154,
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,0,,0.08141
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,1,,0.16794
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,2,,0.18609
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,3,,0.1849
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,4,,0.17961
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,5,,0.18882
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,6,,0.18348
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,7,,0.18048
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,8,,0.17947
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,9,,0.18063
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,10,,0.1906
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,11,,0.19268
2026-06-09T17:59:31Z,xlm-r-base,crows_pairs,en,12,,0.04986
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,0,,0.13577
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,1,,0.24477
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,2,,0.28552
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,3,,0.27594
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,4,,0.2644
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,5,,0.29173
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,6,,0.32409
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,7,,0.31978
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,8,,0.35624
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,9,,0.36477
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,10,,0.34753
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,11,,0.32664
2026-06-09T19:38:20Z,xlm-r-base,indian_bias,en,12,,0.08469
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,0,,0.12139
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,1,,0.14336
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,2,,0.12773
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,3,,0.13777
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,4,,0.12842
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,5,,0.14626
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,6,,0.14328
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,7,,0.13204
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,8,,0.13651
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,9,,0.13111
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,10,,0.14344
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,11,,0.14254
2026-06-09T20:22:00Z,muril-base,crows_pairs,en,12,,0.00254
2026-06-09T21:46:21Z,muril-base,indian_bias,en,0,,0.15727
2026-06-09T21:46:21Z,muril-base,indian_bias,en,1,,0.16784
2026-06-09T21:46:21Z,muril-base,indian_bias,en,2,,0.14391
2026-06-09T21:46:21Z,muril-base,indian_bias,en,3,,0.15338
2026-06-09T21:46:21Z,muril-base,indian_bias,en,4,,0.13231
2026-06-09T21:46:21Z,muril-base,indian_bias,en,5,,0.14026
2026-06-09T21:46:21Z,muril-base,indian_bias,en,6,,0.14549
2026-06-09T21:46:21Z,muril-base,indian_bias,en,7,,0.14514
2026-06-09T21:46:21Z,muril-base,indian_bias,en,8,,0.14326
2026-06-09T21:46:21Z,muril-base,indian_bias,en,9,,0.13595
2026-06-09T21:46:21Z,muril-base,indian_bias,en,10,,0.13255
2026-06-09T21:46:21Z,muril-base,indian_bias,en,11,,0.12969
2026-06-09T21:46:21Z,muril-base,indian_bias,en,12,,0.0023
2026-06-09T22:21:56Z,mbert,crows_pairs,en,0,,0.2726
2026-06-09T22:21:56Z,mbert,crows_pairs,en,1,,0.31337
2026-06-09T22:21:56Z,mbert,crows_pairs,en,2,,0.27577
2026-06-09T22:21:56Z,mbert,crows_pairs,en,3,,0.26193
2026-06-09T22:21:56Z,mbert,crows_pairs,en,4,,0.2497
2026-06-09T22:21:56Z,mbert,crows_pairs,en,5,,0.2455
2026-06-09T22:21:56Z,mbert,crows_pairs,en,6,,0.27828
2026-06-09T22:21:56Z,mbert,crows_pairs,en,7,,0.28263
2026-06-09T22:21:56Z,mbert,crows_pairs,en,8,,0.33273
2026-06-09T22:21:56Z,mbert,crows_pairs,en,9,,0.34272
2026-06-09T22:21:56Z,mbert,crows_pairs,en,10,,0.40656
2026-06-09T22:21:56Z,mbert,crows_pairs,en,11,,0.6003
2026-06-09T22:21:56Z,mbert,crows_pairs,en,12,,0.45962
2026-06-10T00:00:49Z,mbert,indian_bias,en,0,,0.47517
2026-06-10T00:00:49Z,mbert,indian_bias,en,1,,0.49869
2026-06-10T00:00:49Z,mbert,indian_bias,en,2,,0.45876
2026-06-10T00:00:49Z,mbert,indian_bias,en,3,,0.44163
2026-06-10T00:00:49Z,mbert,indian_bias,en,4,,0.41709
2026-06-10T00:00:49Z,mbert,indian_bias,en,5,,0.37871
2026-06-10T00:00:49Z,mbert,indian_bias,en,6,,0.39706
2026-06-10T00:00:49Z,mbert,indian_bias,en,7,,0.44557
2026-06-10T00:00:49Z,mbert,indian_bias,en,8,,0.49772
2026-06-10T00:00:49Z,mbert,indian_bias,en,9,,0.52066
2026-06-10T00:00:49Z,mbert,indian_bias,en,10,,0.61533
2026-06-10T00:00:49Z,mbert,indian_bias,en,11,,0.7618
2026-06-10T00:00:49Z,mbert,indian_bias,en,12,,0.57406
